1964	1842	2107	1851	1965	1678	1870	239	2013	2265	2064	1927	333	2222	1787	1851	2222	335	1683	2064	2114	2013	2190	669	1909	1678	1927	2190	2013	283	2279	2062	679	384	2062	1962	1963	538	837	1509	1955	239	2013	239	1617	1954	504	1959	2155	2225	2155	23	333	2067	335	1794	1205	1964	1841	1678	1908	1965	2107	1704	1965	2063	2222	2290	1701	332	2060	454	443	1733	285	1851	1960	1963	1959	2224	386	1909	1788	1759	2152	1959	283	2222	2251	1842	332	2107	2015	1963	731	724	1509	2105	240	2062	239	1449	1954	673	2111	2018	2225	1965	238	334	2067	335	1682	1261	2018	1953	558	444	444	2010	1926	387	503	1955	558	1982	1955	389	387	666	452	284	1626	335	284	2251	2226	612	1852	1994	1704	389	2267	332	2267	788	236	388	2092	1963	1965	454	834	1676	1994	284	558	334	788	332	389	389	387	1963	2251	334	1955	2106	499	1851	1279	1909	1701	2222	1908	1964	2251	625	238	2278	2290	2063	1870	333	2061	1952	442	2107	335	1795	2014	1965	2013	2224	500	1881	1901	1787	2207	2063	384	2063	2106	1842	333	1955	2190	2017	482	779	1564	1953	783	2251	388	1561	1954	616	2015	2092	2225	1851	386	556	2067	284	1682	1317	613	625	834	2046	1515	457	683	139	834	609	1519	1782	236	513	625	610	400	1710	892	1292	1433	610	1464	612	1995	411	1952	1520	834	257	2204	722	681	383	721	1293	809	373	835	948	737	191	609	791	875	683	835	1572	1292	2265	809	331	612	669	239	948	1180	2018	1564	2251	1851	2018	2061	1870	333	2223	2222	2110	1926	333	2106	1783	556	2012	239	1515	2064	2018	2291	2191	386	1741	1955	1870	2152	2151	332	2063	2265	1842	332	2060	2065	2067	454	779	1565	1954	240	1791	239	1447	2007	561	2065	1970	2153	2156	283	388	452	445	1571	1279	1936	1564	2251	1964	1937	2251	625	284	2063	2251	2063	1953	387	2251	454	612	2251	239	1598	2014	1992	615	2254	1851	1796	1734	1870	2310	2279	283	2279	1846	1842	332	2061	2016	1963	536	836	1563	454	198	2251	783	1561	1953	561	2326	1965	2190	2135	388	386	2091	285	1710	1433	1851	1953	2063	1908	1851	1734	1701	284	1959	2063	2015	1982	239	1957	1954	556	2013	335	1683	2015	1964	2063	2066	500	1852	1733	1927	2066	2063	333	1733	1846	1953	238	2061	2066	2018	537	837	1509	454	238	2013	198	1561	2059	449	1962	2155	2066	2155	386	333	2018	783	1795	1172	1851	1841	2252	1851	1909	2188	1982	239	2189	2108	2064	1701	335	2150	1954	613	2012	284	1683	2152	2067	1903	2109	612	1852	2061	1759	2152	2151	335	2063	1902	1564	239	1956	2111	2067	537	669	1509	1954	447	2063	239	1563	2007	449	2015	1965	2015	2112	284	444	1851	389	1682	1569
1965	1953	1734	1965	1851	1622	1869	238	1959	2108	2224	1983	239	2062	1676	1965	2062	239	1682	2015	2155	2189	2254	443	1966	1622	1645	2110	1904	284	2222	2222	509	1966	2150	2112	1962	426	669	1453	2009	335	2062	335	1562	2059	618	2173	2114	2192	2192	11	499	1964	239	1962	1093	1965	1954	2225	1963	1851	1734	1953	1851	2109	2062	2311	1700	387	1956	1564	669	1959	389	1965	2014	2156	784	2152	442	1851	2010	1705	2224	2151	387	2291	2222	1898	283	1734	1906	2112	732	725	1620	1731	286	2222	238	1507	1952	561	2191	2114	2152	1851	239	387	2113	388	1681	1206	1908	1898	335	499	333	2061	1927	334	615	558	2267	1981	2205	333	283	669	388	283	1627	239	334	1956	1959	333	1797	565	1787	336	2063	387	614	1510	454	452	1939	2156	1851	538	894	2136	1939	387	335	387	794	387	565	336	283	507	2267	284	499	2061	444	1965	1453	1992	454	2062	1936	2067	1956	1759	333	2061	2188	2110	1925	388	2106	1954	781	1791	386	1515	2110	1970	1959	2064	612	1741	1845	1982	2310	2109	556	2109	1903	1786	386	1956	1851	2045	481	669	1453	1733	784	2222	239	1617	1952	617	2065	2135	2192	1733	335	384	2135	387	1851	950	557	626	1520	2044	779	400	569	257	343	1575	1465	570	139	456	626	609	720	1433	833	1463	1970	609	1517	834	2045	791	1897	1460	859	139	2167	400	1782	496	665	917	865	842	947	891	1923	111	610	1970	1293	522	1339	1628	1403	534	640	140	466	613	558	891	1181	1963	454	1956	1964	1908	2010	1925	236	2151	2062	2190	1758	236	1787	1731	668	2108	238	1795	2065	2019	1736	2111	442	1795	1956	1925	2224	2013	283	1903	1733	1898	387	2147	2015	1964	815	1515	1621	1841	615	1734	333	845	1953	673	2152	1953	2066	2112	284	1965	388	389	1909	894	1963	625	2062	1683	1993	1956	1759	283	2267	2222	2190	1704	284	1956	625	1741	2222	238	670	2110	1994	448	2190	783	1768	1510	1925	2266	2223	332	2189	2012	1786	387	2010	2154	1936	651	724	1733	1564	389	2013	1965	1617	399	394	2226	1851	1851	2092	1965	499	1992	445	1851	1451	1710	2007	2109	1797	1909	1791	1870	197	2226	2012	1906	1981	238	2062	2059	557	1959	386	1851	1962	2067	2108	2153	444	1908	1678	1926	2153	2109	236	1959	1734	1563	239	2012	2016	2017	482	782	1453	564	196	1959	197	1503	2106	506	2112	2114	2067	2112	344	239	1908	784	1737	1173	1965	1899	2062	2067	1965	2108	1923	333	2151	2012	2152	1700	239	2062	509	669	1958	389	1682	2064	2068	2063	2153	333	1908	2107	1705	2064	2013	238	1960	1678	1842	335	1955	1960	2066	482	779	1453	2059	240	1903	446	819	2008	673	1962	1851	2193	2155	334	499	1965	334	1681	1371
1909	1898	1791	1710	388	1567	1868	333	2223	2188	2225	2035	612	1957	1671	783	2223	238	1964	2152	2018	2064	2063	387	1571	1567	565	2109	2064	387	2189	2150	565	556	2060	2225	2112	425	893	1564	2008	446	2223	238	1505	1952	563	1851	2112	2224	2112	58	444	2066	446	1795	1262	2067	1899	2151	1907	1710	1791	1671	783	2012	2150	2190	1810	283	1955	676	666	2265	445	1710	2110	1795	1733	2223	725	1964	2011	625	2151	2189	284	2013	1902	1786	387	1791	1849	2156	452	612	1564	1900	389	2189	335	1590	2057	504	1623	2019	2192	1710	333	284	2066	239	1569	1037	1907	2007	2156	1852	500	1846	1813	283	389	500	2291	2034	2206	444	284	779	1851	334	1572	558	283	2291	2267	239	1910	2093	399	502	389	283	615	669	788	2106	2044	2112	2106	510	1515	2093	2046	283	2267	283	676	2009	675	2106	284	333	452	387	444	452	500	783	873	1966	625	2187	1963	1683	1955	794	196	2111	2108	2190	1869	238	2010	1841	725	1734	558	1741	1905	1851	2291	2223	499	1936	1844	1676	2172	2267	609	2012	1676	1898	331	2060	2063	2112	537	666	843	1563	1851	2062	473	1562	1899	729	2225	2067	2226	1965	2093	610	2091	283	1569	838	2176	794	1632	2092	2156	456	1783	612	1520	1687	1405	1952	257	457	794	225	456	388	1293	891	791	1854	1463	236	2094	399	512	834	2107	466	2187	835	1726	442	1577	916	1433	1293	1059	1012	1953	84	1854	1451	1069	627	1394	1517	1572	478	865	280	257	557	500	890	1178	1908	625	1790	1965	1852	2011	569	239	2319	2251	2267	1813	612	1676	510	498	2289	335	1741	2013	2017	1624	2278	725	1963	1789	1702	2291	2223	387	2190	673	1953	283	2222	2152	2066	591	1741	1677	1899	447	1735	236	789	2008	504	2015	1965	2067	1963	387	1851	1851	501	1345	1429	1881	454	2222	2067	1938	1901	794	387	2290	2062	1960	1563	283	1955	1564	834	2204	335	613	1961	1909	784	2063	1965	1769	2107	1702	2172	2151	284	2319	1958	1731	283	2011	1793	2112	368	725	1451	676	240	2062	1851	1562	1733	506	2255	1710	1903	2091	1710	444	2135	389	1433	865	1965	1955	2012	1794	1683	1510	1869	283	2015	2061	2193	1870	335	1956	2106	669	2062	558	1571	2065	1965	2012	2111	388	1740	1789	1758	1961	2153	239	1762	1791	1733	333	2010	1905	1963	481	669	1508	1678	244	1957	240	1617	1954	561	1963	2069	2016	2114	215	558	1963	473	1962	1229	1710	1787	2189	2066	1851	2107	1953	236	2013	2188	2015	1647	388	1957	360	557	1846	334	1571	2151	2113	1735	2190	894	1795	2011	2036	2189	2189	239	2109	2062	1453	333	1957	2066	1964	481	613	1564	1952	241	2012	238	791	2058	560	2065	1970	1906	2192	197	388	2067	284	1569	1316
2067	1840	1510	388	1970	507	1925	335	2064	1022	2223	2083	236	2060	2106	809	2150	446	2067	1904	2017	2151	2110	613	1799	1564	509	2153	2223	443	2289	2151	620	1909	2149	1737	2156	536	782	1454	2060	391	2151	2135	1561	1899	339	2015	2017	2015	2114	81	500	1682	388	1737	1118	1909	1897	1622	2018	399	1510	1787	360	2267	2187	2238	1647	284	2251	651	779	673	197	865	2063	1936	2173	2151	558	1965	2061	2036	2189	2013	443	2151	1956	1953	284	1510	1794	1962	1953	892	1508	510	559	2013	196	848	1899	449	2312	2017	2226	2106	196	332	2068	446	1851	1320	1852	332	2193	239	239	2106	1758	284	502	2251	1962	1967	2267	502	443	443	1965	389	1852	2267	387	1955	335	507	1908	613	732	286	2291	454	391	676	676	399	444	1795	1903	283	1460	788	1940	613	2211	284	1480	283	669	2267	332	2156	558	332	1956	2059	238	1676	834	1994	676	2150	1937	666	1901	653	239	2327	2238	2267	1868	239	2107	1899	386	1735	2093	1712	1961	1953	2279	2279	444	1795	1789	1923	2265	2012	610	1903	1787	1731	238	1957	1903	2175	480	1515	1678	1982	2173	2279	1710	1505	1841	393	2291	2091	2015	452	442	609	1964	613	1681	1062	670	653	1741	835	1460	722	739	333	859	721	1518	624	612	512	653	556	457	1563	1069	1349	750	949	1573	333	1292	732	568	1741	666	333	2265	457	654	386	524	1435	1851	184	946	956	409	234	1575	732	892	679	1340	1292	1517	588	864	304	834	670	335	1068	1170	2017	1759	1900	1909	1963	2012	1702	612	2291	2150	2063	623	239	731	622	669	2061	333	1460	1904	2114	2251	2312	781	1881	1900	622	2223	1959	282	2106	452	1786	385	2187	2064	1682	843	669	1397	1952	390	2107	612	848	2058	449	2225	1851	1961	2175	443	271	2173	284	2272	1515	2156	1759	1957	1682	2045	1845	653	195	2311	2279	2267	732	443	2060	676	333	2263	196	1542	1905	2093	503	2267	784	1880	1929	622	2152	2013	334	2013	1734	1898	284	2106	1958	2156	454	612	732	1453	502	2279	784	1505	1563	449	2291	2106	784	2067	473	442	2067	334	1965	1426	388	1898	2108	1906	2067	2107	1702	159	2013	2109	1849	1815	333	1902	2104	613	2151	725	1682	2064	1909	1846	2154	558	1795	1845	1871	2067	2111	612	2173	2012	1982	196	1846	1851	2114	480	780	1564	2156	158	1902	159	1562	2104	897	2225	2017	2154	2017	335	335	1907	1851	1515	1208	1908	1954	2150	2016	1964	1357	737	612	2152	2107	1904	1929	333	2187	214	556	2063	197	1851	2189	1964	1792	2063	239	1794	1846	653	2151	2064	333	2014	1957	454	558	1902	2153	2153	480	666	1508	2104	503	1735	391	737	1953	561	2064	388	1849	2114	283	333	2066	285	1683	1345
1851	1843	788	1908	1733	2225	1814	196	1904	2012	2152	1926	1963	1956	399	731	1957	388	2066	2013	2069	2152	2109	283	1992	507	679	2111	2279	195	2223	2223	789	609	2187	1963	1795	483	780	1678	1953	199	2189	2155	1449	2057	244	1733	2018	2226	2193	177	386	1683	558	2015	1318	1851	1952	2189	1852	1433	2237	732	784	2190	2251	2268	454	334	2009	564	387	452	501	809	2190	2175	673	2189	781	1796	1846	653	2223	2223	195	2189	1957	1840	334	1929	1736	2175	399	836	1566	1620	198	2151	333	733	2059	506	2278	2155	2224	865	335	443	2016	558	1683	1289	2019	1955	239	558	558	2011	1816	332	390	335	1907	332	2061	334	333	387	1676	387	1458	2015	389	2222	558	1795	1795	677	1676	615	2111	334	446	333	333	271	2046	1962	388	334	843	1788	1954	669	1907	332	849	1955	557	2061	334	239	387	283	2059	2010	555	1451	1460	2093	1700	2149	1852	333	1957	454	386	2191	2107	2109	1981	335	2011	1897	721	1510	1908	1936	2153	388	1904	2013	333	1963	1957	737	615	2254	1966	2110	2169	1953	442	2251	1877	2018	592	613	1622	1787	240	1902	1851	1506	2059	392	2152	2044	2224	1953	558	1909	1992	443	1683	839	2211	799	788	1967	1741	1883	622	236	666	1689	1574	1897	333	542	1865	384	778	1426	1575	890	399	1409	1576	139	948	731	1894	1515	779	612	2147	1292	632	495	1745	1575	731	845	722	902	1671	140	721	411	833	1725	1059	1573	1628	646	2268	175	333	697	80	1003	1152	1993	651	2105	2067	1910	2107	622	1963	2013	2223	2254	566	1741	1903	569	443	2278	196	1963	2224	2069	2015	2327	1797	1936	2251	510	2151	2189	385	2109	731	1731	443	2149	2112	2210	564	1460	1452	1787	559	1510	2210	679	2009	394	2112	452	1905	1936	195	1710	865	334	1992	976	1795	676	2150	333	1852	1790	454	443	2109	2150	2109	1671	613	2222	788	894	2279	333	1487	2153	1966	728	2109	750	1967	676	510	2207	2253	387	2151	2061	1953	334	2107	2113	1795	676	894	1704	1759	286	1959	261	1506	732	672	2192	360	2262	2136	1851	333	2092	501	388	809	783	2008	2061	2193	613	1735	1815	334	1904	2108	1908	1760	196	2150	2057	445	2064	442	1684	2112	2068	1958	1960	335	1797	1902	1816	1682	2110	2156	1710	1958	819	335	2011	1961	1908	592	949	1454	507	130	1678	284	1505	2057	394	1795	2112	2113	2192	442	238	2017	1965	1567	1237	388	1897	2151	1964	2067	2061	1870	238	2064	2061	2224	1870	238	2060	483	389	1903	285	1513	2013	2066	1847	2111	834	1740	2108	788	2224	2152	331	2012	2222	651	388	1901	2014	1961	592	1683	1454	1899	390	1846	196	1953	2009	674	1906	865	2152	2017	389	500	1964	445	1513	1428
2068	1786	1735	809	399	674	1981	388	2151	2290	2189	2084	2156	2150	1953	637	2013	333	1510	2224	2019	1959	2153	284	1994	564	1590	2063	2224	613	2251	1957	2010	1994	1957	1795	2225	593	668	1508	2058	337	2222	196	1450	2106	338	2225	2069	2152	2017	37	388	1961	238	2192	1148	2068	1787	1567	1795	865	1929	791	261	2108	2149	2111	676	445	1957	625	1741	784	334	1433	2111	2112	2265	2253	1797	1683	1899	454	2064	2173	669	2223	1901	1843	443	2237	2193	1795	1451	894	1454	1956	502	2279	388	1645	2104	338	2241	2069	2064	2262	388	445	1964	614	1961	1149	1963	385	727	333	1852	2059	1871	389	447	1907	335	1968	2204	500	454	1881	1787	332	1740	2291	332	1902	2211	1741	1907	389	731	390	2154	282	337	343	283	731	500	1936	2067	284	1741	2194	2106	443	1963	389	1759	2251	501	2204	399	454	2193	389	2009	2128	196	809	1515	1882	1647	2251	1907	1682	1902	1564	388	1846	2061	1960	1924	444	2059	2057	1797	1929	1992	669	2066	1733	2223	2065	555	1515	1902	732	2266	2108	1909	2108	731	1843	444	2222	1965	2043	594	1741	788	732	1965	2013	238	1503	2057	562	2226	2068	2152	2173	1994	1966	2092	195	1710	1121	669	466	454	1182	283	1292	510	873	459	373	835	1841	466	485	799	949	832	819	1376	1517	732	1575	1629	1429	2137	737	570	779	806	236	2251	1939	736	1994	1799	892	1451	344	1071	901	411	40	1687	261	1376	569	1014	1403	1347	503	725	356	139	1678	40	893	1172	1907	1701	2291	2016	1937	1846	510	1964	2253	2060	2014	567	2156	1982	621	610	2188	444	834	2223	1993	1790	2061	1882	1515	1901	569	2189	2279	443	2038	784	1617	334	2009	1962	1683	316	666	1510	1788	389	2267	2156	1645	1898	506	2224	399	2110	1795	613	809	2265	387	2093	1453	2175	788	2060	612	1910	1733	1564	613	2254	2187	2110	399	669	1957	626	1515	2187	388	1711	2267	1882	616	2278	360	1939	1564	569	2173	2222	282	2253	2107	1840	385	2059	2281	1962	788	838	731	788	559	1902	360	1450	1787	560	2225	388	2063	2113	271	500	2044	197	783	1710	2173	1842	2153	1854	1964	2066	1703	285	2064	2011	1794	2034	388	2060	1952	501	2152	1908	1796	2192	2066	1679	2016	499	1739	1790	1759	2014	1960	1741	1851	2061	1676	388	2107	2067	1962	428	893	1620	536	202	2152	126	1449	2186	952	1737	2018	2111	238	725	388	2019	399	1963	1060	1733	1788	2265	2068	2068	1022	1869	335	2280	2063	2225	1810	444	2222	2059	668	2108	240	1569	1904	1965	1791	2110	839	1963	2010	1927	2013	2223	196	1903	2150	1701	238	2222	2063	1682	650	863	1678	509	559	1958	337	1451	2105	672	1904	1733	1736	2193	195	386	2016	240	1851	1205
2066	1955	676	865	1710	564	1815	444	2189	2109	2015	2128	2112	2149	732	784	2151	444	669	1959	2112	1904	2111	666	1882	1453	482	2191	2065	669	2151	2013	1927	328	2222	2152	1936	649	949	1396	2007	558	2150	2112	1506	2104	786	1962	2192	2064	2156	21	335	2153	333	2112	1094	2113	1785	2266	2017	809	676	1676	1970	2254	2060	2131	1929	557	2222	1759	613	2262	159	1451	2109	1962	1931	2225	892	1966	1734	676	2225	2152	613	2279	1845	1731	385	2267	1624	1936	1676	781	1453	1927	447	1959	446	845	1897	394	1846	2156	2065	1917	331	557	2135	500	1513	1174	558	1842	2211	500	1910	1788	1757	443	334	444	2015	305	2009	1994	1741	1712	1733	502	1738	242	336	2267	2291	564	1853	669	791	2281	336	509	671	666	387	1733	2136	239	2063	332	1453	1704	331	559	2015	443	815	2045	613	334	389	2112	2291	285	2106	508	508	732	931	1571	651	1957	1993	443	1845	651	335	1623	2237	2014	1982	386	2186	1953	892	2237	725	1881	2267	865	2151	2253	725	1712	1955	731	2173	1960	328	1958	784	1617	388	2187	1710	2155	428	1683	926	1676	162	2151	1965	1450	2104	728	2064	2136	2112	388	1992	1797	2134	669	1597	951	2175	1865	666	2136	669	1178	679	1429	1741	665	1404	568	849	400	1810	1799	345	473	721	948	819	845	1349	894	2021	1704	1841	1632	1460	849	2128	667	570	510	833	1797	732	833	1014	1688	791	4	665	399	1449	772	1395	948	948	615	589	305	843	559	196	1012	457	2019	794	2338	1992	1993	1788	679	1741	2326	1957	2109	568	1964	2169	1620	723	2011	500	1453	2062	2045	1956	1846	892	1712	1733	621	2064	2062	284	2014	2262	1843	284	2150	2225	1510	479	1881	1676	2059	502	2014	1963	1590	1955	338	2192	1733	2014	1962	669	865	1970	285	949	815	283	1453	1902	894	1936	1902	651	669	2327	1957	2111	791	195	1901	1453	1795	2149	446	669	1735	2047	447	2110	809	1684	788	679	2208	2319	443	2222	1903	1843	443	2186	2285	2175	873	781	1676	625	501	2222	1970	847	731	366	2310	1451	2106	2134	1970	555	2134	237	865	1851	473	2009	2111	1849	334	2067	1814	237	1962	1846	1624	1869	444	1901	1899	389	2150	1992	1513	2152	2016	1903	2063	446	1907	1901	1757	1905	2014	316	784	1903	1842	444	2108	1960	2155	648	783	1566	1564	129	2192	389	1502	2148	1009	2156	1963	2153	446	558	446	1850	754	1622	1227	2018	1729	1022	1909	1966	2290	1814	1963	1959	2109	2223	454	500	1956	399	501	2011	445	1681	2015	2016	1623	2191	500	1907	1734	1926	2065	1959	388	2110	2013	1678	444	2062	1961	1683	648	976	1507	2106	285	2188	335	732	1955	506	2112	1710	2065	2018	332	239	1710	501	1793	949
1966	2007	2267	783	731	1564	1982	446	2224	2238	2013	2036	1795	2187	791	1433	2189	558	779	2065	2193	2062	2191	779	556	1929	620	2014	2062	666	2319	2189	845	610	1956	2015	1737	539	613	1733	2105	127	2253	2193	1507	1841	291	783	2193	2112	2069	36	239	1905	614	1908	1258	1966	1729	2248	1850	2106	674	399	2106	1903	2223	2153	651	501	1901	1453	1881	2173	237	783	2153	1881	783	2064	496	2067	2012	1564	2013	2253	666	2326	1790	1617	282	676	2041	1737	1787	835	1732	622	336	2223	558	789	1841	672	2327	2112	2112	360	444	283	2091	238	1793	983	1795	387	2226	2018	499	1954	1756	452	528	2267	1963	357	2106	415	343	613	731	501	1514	1962	2251	1957	2193	834	1738	1939	1953	2154	2292	455	558	779	284	1953	1852	669	784	387	612	2092	2093	1936	239	509	2116	1938	334	2205	1909	387	1955	282	399	507	724	731	976	1799	788	1956	1795	387	2060	676	331	2312	2169	2254	1814	196	2108	510	665	2153	2022	1460	1735	452	2319	2319	386	666	1732	1671	2152	2190	1994	2014	1762	1840	196	2149	784	1993	650	1460	873	731	389	1959	196	1619	1897	340	2224	1992	2223	1563	383	1854	2066	390	1654	671	2137	1810	859	1292	666	835	621	931	2107	1854	1462	512	834	579	466	1713	2146	399	1432	1464	1563	556	1628	257	1180	637	511	666	1520	1564	2149	1629	1813	733	510	833	1965	721	959	1743	819	222	344	731	1432	1635	1005	1463	1458	448	2269	329	236	668	109	1117	1237	1936	676	2204	2044	2019	2108	621	2156	2222	2279	2111	681	1963	732	733	666	1958	388	894	2279	2020	1849	2010	721	2156	1845	509	2225	2152	334	2110	1953	1840	498	2204	2224	2116	1564	1683	1788	1897	198	1905	2175	1589	2006	339	2064	731	2267	2273	1936	637	1733	283	2139	1460	1741	794	1956	1510	2018	1957	676	1964	2289	2223	2254	1787	666	1902	794	666	2276	500	557	2066	1571	785	2153	637	1911	1791	621	2326	2189	385	2223	2011	1617	282	2220	2300	1881	1564	892	791	564	197	2151	754	1503	791	897	2338	865	1965	2044	754	441	1964	159	784	732	360	1843	1846	558	389	2210	1644	198	2225	1958	2283	1817	500	2187	2010	668	1904	184	1569	1906	1851	1791	2191	333	1627	1956	1704	1964	2108	1963	783	2011	1787	331	1958	2111	2019	591	668	1396	843	245	2062	160	1507	2010	842	2067	2156	1964	2156	214	444	1962	340	894	1171	865	1952	2013	2113	1796	2011	1868	1795	2223	1958	2189	1869	558	2149	1022	502	2061	502	1684	2065	1909	1960	1960	1795	1962	2012	676	2223	2224	386	1792	1790	564	500	2187	2016	1905	594	1515	1396	1841	389	2109	127	1676	2147	504	1849	809	1794	1962	285	335	2068	502	1905	1165
2016	1896	2248	1733	1953	2036	1701	386	2152	2107	1904	1816	1962	2223	731	865	2187	196	613	2225	2192	2223	2014	1964	2093	674	789	1960	2319	1964	2253	1902	622	1908	2151	1933	2175	368	723	1507	1956	287	1959	2192	1563	1788	396	1931	2019	2223	1962	197	558	284	444	1849	1207	2016	1730	2130	1738	1451	507	411	388	2188	2151	2110	1587	443	2187	788	1712	340	557	731	1905	283	2013	2013	335	1992	1677	788	2279	2224	1936	2253	2062	1896	445	343	1908	2273	1704	611	1733	621	285	2150	158	1589	1788	560	2061	2115	2255	2202	236	501	2154	333	2016	1286	239	1843	2194	335	388	2012	1759	399	559	2291	2018	259	1956	284	236	283	732	336	1685	1907	1909	2223	2015	454	1740	557	411	501	1960	284	333	454	2156	1787	1954	2273	1964	426	1564	2135	399	390	1962	565	2071	1937	730	284	1967	564	2226	385	500	2169	611	784	926	725	849	2279	2018	779	1733	788	444	2063	2278	2111	1815	500	2220	1787	496	2267	442	1963	1791	1563	2189	1904	611	669	2009	1953	2206	1903	215	1960	673	1732	499	1901	783	1963	648	1712	1567	399	198	2150	754	1615	1787	450	2112	2093	2291	2262	2022	1799	2016	559	1571	1372	501	1636	636	1059	873	1939	733	849	1632	610	947	682	843	570	607	1598	2057	409	496	1403	731	1824	1572	1520	385	409	1729	914	607	1692	2168	777	567	721	1744	1409	399	185	1004	890	1982	62	1686	1433	1534	1717	1336	1349	1349	616	533	137	1741	2193	222	1060	1154	2045	1453	1566	2091	1907	2106	1783	2210	2189	2187	2153	1756	1795	1733	1900	557	2107	446	669	2319	1910	2292	2291	496	666	1843	733	2279	2224	498	2012	732	1955	282	1955	2192	2153	676	1712	1451	2057	285	2153	2067	1449	2105	672	2226	791	2210	1881	666	1658	473	332	895	843	387	1701	2149	2066	1908	1955	1865	666	2278	1956	2014	731	1936	2147	1759	1683	2062	444	1738	2089	386	559	2191	865	1883	674	509	2291	2251	237	2332	2289	1619	498	2148	2333	1737	843	835	1953	843	336	1957	473	792	1982	952	2324	2262	783	1992	865	388	1935	332	1451	1563	784	1731	1960	1992	2068	1905	1925	195	2267	1903	2293	1925	158	2013	2186	387	1957	506	1681	1904	2113	1734	2067	239	1963	1844	1813	2110	2281	1795	1563	1623	732	386	1791	2153	2112	650	613	1678	343	204	2225	161	1450	2061	560	2066	2192	1961	239	2093	500	1852	809	1741	1170	809	1730	2280	2154	2016	2265	1925	196	2150	2011	2013	1925	446	1902	2265	782	1791	198	1796	2224	2154	1846	2281	236	1797	2188	625	2015	2062	236	1735	1622	1647	386	2149	1905	2210	540	788	1620	2057	336	2108	614	1445	2060	727	2152	1563	1908	2069	237	558	1903	447	1792	1061
2113	1731	674	360	732	1453	1702	558	2279	2063	2151	1980	2210	1955	1982	732	2253	500	1795	2223	2156	2224	1960	1936	949	1795	510	2254	1959	2175	2291	2187	2047	1992	2189	2267	1741	370	779	1620	2147	614	2064	446	1503	2010	896	2065	2156	2065	2018	159	238	1963	500	1906	1061	1992	1788	2152	1962	731	788	731	1733	2014	2279	2281	788	282	2147	843	283	2062	198	1676	2254	1741	2262	2279	721	2016	2107	794	2253	2222	1964	2062	2279	1728	557	1735	2293	2225	1563	838	1731	509	390	1902	444	622	2103	339	2272	1963	2291	809	158	389	1965	444	1571	1263	1910	2251	2155	388	335	2267	1841	397	472	2018	2193	2033	2060	528	676	1936	673	285	1739	388	1964	1901	1963	1678	1741	788	452	447	1961	385	2291	1683	2071	732	499	613	452	427	1520	1816	509	788	2271	501	779	385	677	2108	1965	1795	2106	443	397	2204	446	1733	843	386	1564	2060	1823	2116	1790	1865	500	2238	2012	2311	1867	499	2148	2059	1882	1905	1906	1683	2067	399	2222	2062	724	779	2060	791	2208	2188	124	1847	1733	1619	441	2009	2038	2211	540	1881	1480	452	559	2223	1877	1786	2106	289	1962	2113	2064	399	2047	1824	2113	95	1513	1010	2177	849	607	1291	443	345	1725	843	1460	1978	1516	1785	873	571	849	115	891	791	1882	1573	1451	789	1292	931	891	1787	1785	1453	343	843	675	1403	1812	665	580	949	1426	482	836	1631	399	88	845	409	1575	739	1071	780	1573	590	585	499	931	782	39	1405	1837	1937	849	2170	2092	2017	2059	1642	1795	2224	2149	2311	1757	2067	399	2105	387	2010	558	1881	2255	1852	1511	1623	1994	1460	1844	679	2319	2222	237	2108	2202	2007	556	2105	2013	2071	788	1453	1675	1729	503	2110	1795	1507	1842	1846	2291	1563	2107	2225	1964	1433	809	557	1966	834	669	651	2187	834	1881	1789	788	1936	2300	2060	2153	1733	779	2009	1865	1659	2326	558	783	1791	1908	392	2111	731	2044	564	733	615	1959	195	2251	2278	1732	557	2108	2344	2273	564	950	1787	1678	445	2319	388	1560	1676	619	2339	1676	1710	2210	809	612	2066	282	809	783	1733	2058	1903	725	585	2153	1868	125	1849	2014	1956	1814	446	2151	2148	443	2189	672	1909	2225	1966	2109	2014	612	1853	1957	1756	613	2190	454	1877	2063	452	236	2063	1681	1907	479	723	1507	283	94	1567	285	1563	1899	672	1567	2193	1851	2069	166	499	2114	732	1678	1169	1970	1676	2222	2134	1683	1958	1563	388	1904	1846	1959	651	196	2252	177	670	2109	159	1402	2172	1851	1851	2302	1741	1739	1958	1480	2192	2150	158	1958	1959	843	499	2150	2110	2116	428	806	1567	565	502	1791	333	1733	1898	839	2225	2018	1624	2065	282	238	2063	613	1848	1221
