2032	1968	1979	1978	2026	2080	1979	1982	2031	2033	1980	148	270	225	1235	2336	2336	2080	332	594	1914	2032	2336	1967	1857	2071	116	1980	1235	2082	2080	475	475	2071	225	1576	2336	2026	1980	2171	2032	225	2033	1967	2031	2031	2336	1980	2082	2125	2226	2068	1	2065	225	8	444	2113	1	444	2065	1983	2036	1930	1624	2336	32	1	2083	2131	2036	2189	2253	1930	225	2291	2326	2208	1909	1965	2237	2253	2336	2131	2187	1457	2208	2336	2336	2347	444	2325	2204	2065	2167	72	2189	225	2193	6
2033	2069	2031	2031	444	2125	1978	1858	1979	2081	1979	2071	2336	332	1903	225	778	2125	225	2026	1980	2033	270	497	1913	2081	26	2082	1347	482	2081	263	263	2081	2082	2336	270	609	184	2208	2080	2082	2081	2069	1967	1978	270	2022	482	2032	2155	2155	6	2110	444	32	778	2193	6	225	2110	1927	2131	701	1737	686	50	10	2127	2041	1819	2253	2189	1208	2082	2326	2290	2171	1908	1966	2266	2189	270	2036	2065	1010	2171	270	270	2339	778	2339	2237	2110	2168	31	2253	2082	2227	5
2081	1967	1978	1979	225	1913	1980	1981	1978	2032	1978	43	1810	444	1347	270	444	1913	444	1419	1858	2081	435	116	2032	2033	2237	1979	1571	594	2032	2131	531	2116	332	444	435	778	1924	219	2125	332	1858	1968	1978	2165	225	1969	594	2080	2154	2114	31	2187	482	17	225	2192	15	778	1959	1929	2041	814	1178	270	49	3	2168	475	1482	1903	289	1375	482	2290	2265	219	1797	1911	2205	2131	1388	475	2110	1123	219	686	1388	2327	1442	2310	2205	1737	2236	33	1903	594	2256	15
1981	2021	2082	1968	778	2032	2082	1868	2166	2126	2082	553	2082	2082	1571	609	1576	2126	2082	2336	1924	2126	609	2020	2081	2116	2020	1914	1178	225	1913	2036	698	2033	444	609	609	444	225	2065	1913	482	2032	2020	1968	2079	444	1914	225	2033	2225	2154	5	1959	1438	7	2026	2067	5	332	1737	1985	1988	1375	1570	609	71	6	2129	263	1988	1847	2010	814	594	2265	2291	264	1855	2067	2204	475	1330	263	1959	952	264	609	1330	2350	1438	2347	2166	1959	2127	19	1847	482	2115	13
2126	1969	1914	1980	482	2126	1914	1869	1914	2127	1914	63	435	778	1847	778	2026	2032	778	435	1926	2080	1810	196	2080	2126	325	2034	2036	1419	1857	531	2131	1857	778	778	1419	2082	2082	2110	2193	444	2126	1914	1979	2030	332	1979	270	2081	2191	2018	19	1736	594	18	1442	2115	3	2336	1736	1926	475	1261	1345	1330	70	19	2084	1988	1314	2010	1787	701	1442	2340	2309	2187	1799	1912	2169	263	435	2041	1737	1287	2187	2026	2026	2328	1222	2327	2082	1736	2206	95	2010	1442	2192	47
2080	2020	1969	2069	2082	2081	2031	2072	2082	2080	1924	333	609	1576	1178	444	609	2081	482	482	2081	1981	778	158	2033	2072	2128	2166	1288	2026	1977	2041	2036	2032	270	332	594	594	2022	2187	2126	778	1981	1979	1969	2166	1576	1924	2026	2126	2114	2069	15	1737	332	2	1438	2227	31	482	2187	1816	1819	1208	1736	2026	51	5	2167	531	2131	1789	1903	1261	444	2309	2338	312	1963	1910	2289	289	609	531	219	896	312	225	435	2310	2026	2289	2128	1683	2203	20	1789	1222	2282	69
1858	1914	1980	1967	594	1857	1969	1925	2204	2125	1922	66	225	1810	2189	2026	225	1857	1810	270	1866	2125	225	891	2070	1981	253	1924	1683	1810	2125	698	1930	2070	482	2026	2026	2336	2034	264	2033	2026	1923	1969	1914	69	778	184	1419	2124	2194	2019	3	1735	778	9	332	2070	10	2026	1683	1870	1765	1767	1571	1388	18	20	2126	2036	1765	1787	339	1767	778	2338	2346	2110	1796	2017	2267	2041	225	1988	2208	1061	2065	912	225	2345	332	2345	2169	1735	2126	99	1787	1221	2070	1
2127	1978	2166	2021	609	2235	1968	1812	1969	1913	2031	2128	1419	482	1011	332	435	2124	270	609	1812	2127	444	26	2125	2158	196	1969	1345	270	2126	1988	1315	2126	609	1388	482	1222	319	1288	2081	594	2071	1978	1856	1979	1810	225	609	1913	2156	2020	10	1624	2336	49	594	1966	19	1442	1735	1759	263	1262	1347	912	17	31	2035	1765	1766	289	1847	1262	1222	2351	2288	2065	1740	1964	2166	2010	2026	1823	1736	1847	2110	435	609	2311	225	2308	2202	2187	2265	126	289	778	2255	46
1923	1979	1968	2020	332	2124	2021	2071	1968	2083	2034	284	482	2026	1683	1576	332	2070	1576	2082	1969	1913	2026	2237	2071	2235	425	2204	898	609	2124	1823	1988	1913	594	829	1330	997	223	1345	2070	270	1925	2114	2022	2202	435	1978	2336	92	2068	2156	69	1683	2026	50	482	2112	28	1438	1624	2034	1766	756	1683	435	48	33	2081	2253	1315	1457	1789	2171	1221	2346	2236	701	1800	1913	2310	339	686	1712	289	449	1767	1330	686	2325	1221	2350	2034	1624	2081	75	339	997	2281	27
1925	2114	2204	1969	1442	2203	2022	2035	1980	1981	1969	388	2026	270	1789	435	1330	2235	2026	686	1867	1923	1330	720	2126	1925	158	2022	1570	332	2033	1765	921	2115	2336	775	225	1442	185	1344	2227	1419	2080	1980	2166	2114	609	2082	1442	2070	2153	1967	47	1570	1442	30	1222	1965	13	594	1570	1815	1822	2171	898	225	30	15	2033	1823	1485	339	449	756	1438	2313	2264	1767	2018	2115	2128	531	829	698	898	339	1930	1388	482	2289	1576	2311	2266	1570	2129	1	449	1438	2116	28
2035	2031	1967	2082	1438	2070	1922	1866	2202	2168	2069	2020	594	2336	2010	1330	270	2193	609	1438	1814	2070	1576	2128	2115	1858	1815	1978	954	1438	2071	1819	701	2080	2026	1330	686	482	1979	1767	2282	1442	2116	2021	2021	1967	2082	2166	1810	2287	2069	2066	20	1345	2082	71	2082	2256	47	686	1571	1924	1823	2208	1009	482	8	11	2032	1822	1822	449	1672	2208	2026	2348	2340	1930	1856	2113	2170	2036	482	1765	1683	289	701	778	594	2335	775	2335	1980	1571	2083	127	1457	444	2113	3
2125	2156	2202	1914	2336	2193	2069	1867	2165	2167	1968	1815	778	775	1570	1388	775	2071	594	829	2071	1925	332	325	2116	2264	1967	2263	1011	778	2070	1822	1819	2158	1222	270	778	225	1867	312	2115	2336	2125	1922	1980	95	1330	1867	332	2071	2257	2191	33	1571	686	70	2336	2017	69	2082	1345	1980	531	264	954	778	96	13	2085	1766	1823	1672	1457	698	332	2236	2351	756	2019	2070	2082	1787	594	1819	264	1903	1959	444	829	2344	997	2307	2289	1345	2290	100	1672	2026	45	44
