117	442	1752	150	2126	2114	1854	1757	379	1744	2123	1809	1700	773	429	1236	1914	429	144	269	1812	1746	1871	271	772	1911	281	381	1074	1745	2032	712	1747	825	2031	1752	717	1857	1745	881	1857	551	825	1522	2022	2033	712	714	824	1631	1724	1223	1806	712	916	1948	2302	1848	2285	2335	237	6	1674	65	2282	703	2173	540	1655	1582	686	429	1319	1714	2275	2319	1102	1230	1216	118	744	209	2335	726	284	961	464	1917	1407	341	585	1745	641	132	418	382	754	1035	541	296
188	1913	1749	2263	1924	1801	1966	1927	1921	2029	2079	1806	1865	488	657	123	329	381	265	427	1868	1691	1981	1977	1858	1856	381	429	1522	280	1913	1812	1692	938	657	821	605	1977	1689	1525	1801	1913	938	1409	319	2287	1858	546	882	1686	1335	1220	1809	660	803	1724	19	1793	2306	2098	330	2073	1560	2231	2132	985	2291	708	1711	1921	912	227	1484	1833	2297	2133	1326	1118	1160	117	1081	407	1	782	388	792	745	1974	1520	395	1873	1801	527	18	364	271	1147	1372	1868	298
118	551	1582	1501	67	1742	1688	140	1752	1977	1635	606	62	2123	381	1461	1969	1635	60	1526	1867	662	1755	318	827	943	382	1697	1355	886	442	1858	1581	599	1978	1749	934	1913	1633	1636	1977	442	1917	1355	1858	89	1810	428	1636	2288	1392	151	1640	714	857	1498	2296	1012	17	1	384	2022	1336	1448	741	1369	2130	1925	984	1749	744	272	585	1721	2223	1935	1547	1117	375	188	912	571	2156	725	333	569	579	2076	1294	507	1929	280	39	35	473	1977	1202	644	371	302
833	189	1414	1969	2081	1502	2078	84	280	2164	488	664	372	941	1752	1177	330	1636	109	2032	1858	154	1644	371	1812	1223	280	713	1466	379	427	1867	1524	381	1979	492	548	2080	1690	1581	2031	1526	1973	1466	156	92	1755	487	1581	668	1948	999	1805	771	913	514	2259	900	7	2068	441	156	1113	326	1731	1536	1938	275	760	1358	1386	271	1371	353	78	313	875	1005	1271	2202	2197	346	79	617	385	1128	691	2024	1405	389	1817	1854	525	284	143	91	756	646	485	2100
2202	2032	1921	185	1812	69	1690	1030	1582	664	494	711	1858	935	1809	1629	1968	1581	177	826	1925	2030	2129	382	1867	1912	2227	1752	906	880	189	1700	1413	661	1857	603	1055	2124	1977	1693	1978	1748	1918	1353	195	1742	1867	1329	1635	1113	1498	1219	277	547	1586	253	2310	1402	2323	2156	440	321	2217	191	852	1872	1995	89	873	1414	2197	381	877	1881	2338	562	1642	1396	1217	28	686	213	2068	336	124	678	305	1915	902	615	1371	1857	212	124	643	318	697	1264	318	341
498	490	603	193	1867	2305	1448	40	492	1524	1108	604	2073	1635	1526	1628	1980	1803	260	189	371	153	2167	91	1868	999	2080	1640	1409	492	551	1868	1525	662	1968	1582	1105	1912	1688	1413	1913	490	1860	909	236	2125	1812	1582	711	888	514	1163	2029	772	520	54	33	1124	167	79	184	322	1779	1551	2089	1704	422	87	1098	1301	1670	148	843	800	2212	358	1552	1120	771	2034	1697	206	2157	951	132	455	37	2118	1237	1904	1985	1911	2243	388	307	1805	1763	308	491	680
2034	427	492	2030	151	1334	191	2072	1358	1806	941	2164	548	600	769	1626	1924	1691	261	375	1813	324	115	121	1700	151	383	1809	1976	823	269	1756	1469	716	1913	1414	1051	2032	1801	1470	1745	189	1974	1976	6	1925	1866	996	1747	2265	891	1918	1246	716	743	2304	2221	899	211	1671	64	195	208	1966	981	2135	365	2033	591	1752	1330	88	598	688	2051	1734	466	783	1383	15	1136	257	149	840	18	1186	217	1976	959	296	1760	1688	861	56	584	371	1480	20	598	395
651	1748	602	495	483	95	2231	481	1749	606	600	768	1982	2079	1414	1796	2022	1692	259	278	1982	884	1643	1868	1756	608	279	1696	1353	486	1968	1645	1636	382	769	1921	1161	2125	656	1582	1856	1636	2074	906	1982	87	1914	1272	768	1465	325	943	547	882	1584	1335	3	843	2168	2157	1968	319	668	334	628	2136	421	29	1258	379	1331	713	708	406	2192	587	1719	1733	278	651	120	633	2098	1009	553	1014	22	2199	1016	1512	1816	1798	2290	333	811	152	808	973	707	679
94	269	379	1746	2080	1666	2166	370	602	91	655	271	2022	1108	1865	673	1979	1523	80	1913	1869	2263	2117	485	1865	67	1857	1808	513	544	1967	1701	1580	773	1856	828	493	2078	881	1637	2030	1692	2024	1408	496	2124	1643	544	1525	1866	628	323	274	661	301	2260	31	788	248	149	608	236	1333	377	1037	1434	533	92	1595	602	1388	270	1681	969	204	868	1777	1290	1384	27	1419	357	2163	290	35	732	34	856	903	1845	1930	1912	2265	45	423	1640	647	870	545	2059
2077	826	1641	153	595	1975	719	175	1414	1805	773	1640	1751	939	1696	1119	2021	1747	258	490	1923	150	424	152	1755	2080	1913	1751	1408	1749	2031	1813	1637	829	1914	379	321	2081	1521	1692	1912	375	1805	1074	321	29	1865	1328	1693	125	253	67	232	437	1193	628	103	1123	461	1668	1856	2305	1555	155	684	1546	220	539	1649	1863	1274	320	1907	2044	80	560	1890	728	1526	498	707	511	175	1343	56	1243	569	631	901	895	1759	1921	1656	43	413	121	474	1094	271	2299
